Year,Month,Day,Hour,Minute,Second,Temperature,Humidity
2024,12,19,22,39,57,25.8,49
2024,12,19,22,40,22,25.8,49
2024,12,19,22,40,47,25.8,49
2024,12,19,22,41,13,25.9,49
2024,12,19,22,41,38,25.9,49
2024,12,19,22,42,3,26.0,48
2024,12,19,22,42,28,26.0,48
2024,12,19,22,42,53,26.0,48
2024,12,19,22,43,18,26.0,49
2024,12,19,22,43,44,26.1,49
2024,12,19,22,44,9,26.1,48
2024,12,19,22,44,34,26.1,48
2024,12,19,22,44,59,26.1,48
2024,12,19,22,45,24,26.2,48
2024,12,19,22,46,7,26.2,48
2024,12,19,22,46,33,26.2,48
2024,12,19,22,46,58,26.1,48
2024,12,19,22,47,23,26.0,48
2024,12,19,22,47,48,26.0,48
2024,12,19,22,48,13,26.0,48
2024,12,19,22,48,38,25.9,48
